id,code,name
61,CTR001,Caballete
62,CTR002,Caja
63,CTR003,Caja Abierta
64,CTR004,Caja Cerrada
65,CTR005,Caja De Recolección Con Cargador Frontal
66,CTR006,Caja Refrigerada
67,CTR007,Caja Seca
68,CTR008,Caja Transferencia
69,CTR009,Cama Baja o Cuello Ganso
70,CTR010,Chasis Portacontenedor
71,CTR011,Convencional De Chasis
72,CTR012,Equipo Especial
73,CTR013,Estacas
74,CTR014,Góndola Madrina
75,CTR015,Grúa Industrial
76,CTR016,Grúa 
77,CTR017,Integral
78,CTR018,Jaula
79,CTR019,Media Redila
80,CTR020,Pallet o Celdillas
81,CTR021,Plataforma
82,CTR022,Plataforma Con Grúa
83,CTR023,Plataforma Encortinada
84,CTR024,Redilas
85,CTR025,Refrigerador
86,CTR026,Revolvedora
87,CTR027,Semicaja
88,CTR028,Tanque
89,CTR029,Tolva
90,CTR031,Volteo
91,CTR032,Volteo Desmontable







